timestamp,total_import_kwh,total_export_kwh,soc
2026-04-10 09:00:00,100446.4286,50000.0,38.57
2026-04-10 09:01:00,100892.8571,50000.0,47.14
2026-04-10 09:02:00,101339.2857,50000.0,55.71
2026-04-10 09:03:00,101785.7143,50000.0,64.29
2026-04-10 09:04:00,102232.1429,50000.0,72.86
2026-04-10 09:05:00,102678.5714,50000.0,81.43
2026-04-10 09:06:00,103125.0,50000.0,90.0
2026-04-10 09:07:00,103125.0,50180.0,86.25
2026-04-10 09:08:00,103125.0,50360.0,82.5
2026-04-10 09:09:00,103125.0,50540.0,78.75
2026-04-10 09:10:00,103125.0,50720.0,75.0
2026-04-10 09:11:00,103125.0,50900.0,71.25
2026-04-10 09:12:00,103125.0,51080.0,67.5
2026-04-10 09:13:00,103125.0,51260.0,63.75
2026-04-10 09:14:00,103125.0,51440.0,60.0
